Vehicle Model,Vehicle Colour,Number Plate
Hyundai Creta,White,TN 01 AB 4921
Maruti Swift,Red,TN 02 CD 1847
Tata Nexon,Blue,TN 03 EF 7362
Honda City,Silver,TN 04 GH 2910
Toyota Innova,Black,TN 05 IJ 6534
Kia Seltos,White,TN 06 KL 3821
Mahindra XUV500,Grey,TN 07 MN 9045
Ford EcoSport,Blue,TN 08 OP 1562
Renault Duster,Red,TN 09 QR 4738
Volkswagen Polo,White,TN 10 ST 8823
Hyundai i20,Silver,TN 11 UV 2267
Maruti Baleno,White,TN 12 WX 5491
Tata Altroz,Blue,TN 13 YZ 7736
Honda Amaze,Black,TN 14 AB 3354
Toyota Fortuner,White,TN 15 CD 9182
Kia Sonet,Red,TN 16 EF 6627
Mahindra Thar,Black,TN 17 GH 4415
MG Hector,White,TN 18 IJ 8860
Nissan Magnite,Blue,TN 19 KL 3304
Skoda Octavia,Silver,TN 20 MN 7791
Hyundai Venue,Red,TN 21 OP 2245
Maruti Ertiga,White,TN 22 QR 5568
Tata Harrier,Black,TN 23 ST 9012
Honda WRV,Blue,TN 24 UV 3487
Toyota Camry,White,TN 25 WX 6723
Kia Carnival,Grey,TN 26 YZ 1156
Mahindra Scorpio,Red,TN 27 AB 4890
MG Gloster,Black,TN 28 CD 8234
Nissan X-Trail,White,TN 29 EF 5671
Skoda Rapid,Blue,TN 30 GH 2108
Hyundai Elantra,Silver,TN 31 IJ 9543
Maruti Vitara,White,TN 32 KL 3987
Tata Safari,Black,TN 33 MN 7421
Honda Jazz,Red,TN 34 OP 1865
Toyota Yaris,Blue,TN 35 QR 6309
Kia Stinger,White,TN 36 ST 4754
Mahindra Bolero,Grey,TN 37 UV 8198
MG ZS EV,Green,TN 38 WX 2632
Nissan Sunny,White,TN 39 YZ 7076
Skoda Superb,Black,TN 40 AB 1520
Hyundai Tucson,Blue,TN 41 CD 5964
Maruti Ignis,Red,TN 42 EF 9408
Tata Tigor,White,TN 43 GH 3852
Honda BR-V,Silver,TN 44 IJ 8296
Toyota Corolla,Black,TN 45 KL 2741
Kia EV6,White,TN 46 MN 7185
Mahindra e2o,Blue,TN 47 OP 1629
MG Astor,Red,TN 48 QR 6073
Nissan Kicks,White,TN 49 ST 4517
Skoda Kushaq,Grey,TN 50 UV 8961
